image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.0246950537417,0.00250898925355,0.00322791987707,0.00286075657751,0.951231584836,0.00778101020124,0.0043273434721,0.00336734204055
img_00007.jpg,0.985591685277,0.00158694019205,0.0020930642405,0.00209730893353,0.0021090899933,0.00195876020583,0.00187950074623,0.00268365041153
img_00009.jpg,0.978625240132,0.0139956588094,0.000894292853455,0.00107406413685,0.00181001216614,0.00146116338497,0.00108740331525,0.00105216520165
img_00018.jpg,0.985813489931,0.00113652777781,0.00115585632327,0.000901536540275,0.00194650747422,0.00174017757126,0.000757681326992,0.00654822305538
img_00027.jpg,0.214811430422,0.0874185541698,0.0358370692368,0.0287354312257,0.0832321743433,0.424501403406,0.048990720333,0.0764732168633
img_00030.jpg,0.327622512792,0.0216845505433,0.0271852621933,0.0306568759753,0.460935864423,0.0310381012052,0.0774675567279,0.0234092761394
img_00040.jpg,0.300281690076,0.0324952593914,0.0229651356158,0.0346552846484,0.0366496514089,0.195699546048,0.019192720267,0.358060712545
img_00046.jpg,0.225630406319,0.00463335806168,0.00520834675076,0.00320078894454,0.748119234596,0.00430643061621,0.00530387063978,0.00359756407162
img_00053.jpg,0.995051787653,0.00141313644605,0.000688803084895,0.00045693494901,0.000945157353888,0.000437007696149,0.000572482923195,0.000434689894139
img_00071.jpg,0.450593996141,0.00927868518561,0.00412508682091,0.00752329690671,0.508441858385,0.00882070351009,0.00853610900989,0.00268026404116
img_00075.jpg,0.363064496359,0.0126163535615,0.0160492854354,0.0139370019926,0.520683692341,0.0226158949727,0.023584647822,0.0274486275162
img_00102.jpg,0.213401281681,0.0656739251583,0.0597136340256,0.0550457724882,0.060234965711,0.144031530511,0.0429119841876,0.358986906238
img_00103.jpg,0.981669701413,0.00168764511902,0.00183396665773,0.00126340605631,0.00230402658636,0.00839308520085,0.00158764819566,0.00126052077143
img_00109.jpg,0.97459419647,0.00163291399062,0.00243476736625,0.00150136109902,0.012125966417,0.00211823647025,0.00328302972102,0.00230952846583
img_00119.jpg,0.0205479766132,0.00742198683844,0.00611076205565,0.00428863252486,0.909881226204,0.0123232574058,0.00718018820381,0.0322459701543
img_00120.jpg,0.824090415063,0.0107612913769,0.00636690687612,0.00477455877495,0.00599831317236,0.0939771806455,0.00555834326292,0.048472990828
img_00125.jpg,0.922260569746,0.00530229665928,0.00781839476447,0.0090811438155,0.0113799590475,0.0179890150508,0.0115075362955,0.0146610846205
img_00128.jpg,0.468819585116,0.0310128277834,0.0959009669521,0.0192565295627,0.021634242835,0.0252757864686,0.0327390785787,0.305360982704
img_00129.jpg,0.549517282278,0.040546479009,0.0352744669235,0.0370135989004,0.0287449234744,0.178500759006,0.0244945772312,0.105907913177
img_00133.jpg,0.0385640497865,0.00378194745059,0.00265566955384,0.00192184740123,0.940930187085,0.003569952483,0.00183401566169,0.00674233057801
img_00138.jpg,0.907078403309,0.0175182703543,0.0138116211128,0.00546848527202,0.0334614970992,0.0101580404232,0.00713097783036,0.00537270459921
img_00141.jpg,0.056569533065,0.00732887890628,0.0503532815332,0.00867798113007,0.0171636134033,0.0470292488662,0.00906151408795,0.803815949008
img_00152.jpg,0.806214227659,0.00871729604002,0.0087735995325,0.00836136221872,0.017854126863,0.0317282626452,0.00904202750347,0.109309097538
img_00161.jpg,0.0104262606707,0.00710522751069,0.00287804125887,0.0122103556675,0.00520554199144,0.00766384137078,0.00917495447804,0.945335777052
img_00164.jpg,0.0255455084761,0.00355091473278,0.00609834224048,0.00286681200173,0.946489450679,0.00679207702716,0.00374764070486,0.00490925413801
